iter	Passed	Remaining
1281	23140	67111
1282	23157	67091
1283	23177	67078
1284	23195	67059
1285	23218	67054
1286	23235	67034
1287	23266	67054
1288	23287	67044
1289	23302	67018
1290	23319	66996
1291	23336	66973
1292	23349	66943
1293	23365	66918
1294	23382	66896
1295	23398	66872
1296	23414	66850
1297	23429	66824
1298	23450	66814
1299	23469	66798
1300	23489	66786
1301	23509	66771
1302	23527	66754
1303	23549	66746
1304	23601	66824
1305	23711	67067
1306	23727	67042
1307	23756	67054
1308	23774	67036
1309	23796	67030
1310	23814	67011
1311	23833	66996
1312	23855	66986
1313	23872	66967
1314	23887	66939
1315	23906	66924
1316	23923	66900
1317	23937	66873
1318	23954	66850
1319	23968	66822
1320	23986	66803
1321	24001	66776
1322	24017	66751
1323	24033	66727
1324	24048	66699
1325	24062	66671
1326	24078	66646
1327	24093	66619
1328	24109	66595
1329	24132	66591
1330	24147	66564
1331	24164	66542
1332	24186	66536
1333	24203	66513
1334	24217	66485
1335	24235	66466
1336	24253	66446
1337	24274	66436
1338	24364	66615
1339	24419	66697
1340	24434	66672
1341	24449	66643
1342	24467	66624
1343	24485	66606
1344	24505	66593
1345	24525	66578
1346	24545	66566
1347	24565	66552
1348	24591	66555
1349	24608	66533
1350	24631	66529
1351	24655	66527
1352	24669	66497
1353	24700	66511
1354	24714	66483
1355	24733	66465
1356	24748	66440
1357	24765	66419
1358	24779	66389
1359	24797	66370
1360	24814	66347
1361	24832	66328
1362	24851	66313
1363	24865	66284
1364	24886	66273
1365	24905	66255
1366	24928	66251
1367	24961	66271
1368	24976	66246
1369	24992	66221
1370	25007	66195
1371	25022	66167
1372	25039	66145
1373	25060	66135
1374	25084	66131
1375	25101	66109
1376	25124	66105
1377	25151	66108
1378	25179	66115
1379	25196	66095
1380	25255	66182
1381	25277	66175
1382	25297	66161
1383	25326	66170
1384	25342	66147
1385	25358	66123
1386	25440	66270
1387	25454	66241
1388	25484	66253
1389	25503	66236
1390	25522	66218
1391	25541	66202
1392	25557	66177
1393	25570	66146
1394	25586	66121
1395	25608	66112
1396	25626	66093
1397	25642	66069
1398	25657	66042
1399	25673	66018
1400	25689	65993
1401	25710	65982
1402	25730	65968
1403	25748	65949
1404	25764	65924
1405	25785	65911
1406	25813	65918
1407	25827	65889
1408	25842	65862
1409	25865	65857
1410	25882	65835
1411	25900	65814
1412	25915	65787
